credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
1,debt_consolidation,1.186,99.44,1.049.551.521,7.47,667,2550,1064,70.9,2,0,1,0
1,credit_card,807,109.79,1.149.272.276,8.52,752,4.979.958.333,6432,6,0,1,0,0
1,all_other,1.059,32.55,1.043.382.164,14.47,687,1110,4485,36.9,1,0,0,1
1,all_other,996,112.87,1.126.446.411,11.06,702,4.979.958.333,16310,20.5,0,1,0,0
1,debt_consolidation,964,160.51,1.177.528.973,8.55,712,5940,20969,40.2,0,0,0,0
1,debt_consolidation,1.375,340.57,1.046.310.334,17.38,707,2.699.958.333,22213,65.9,0,0,0,0
1,home_improvement,775,156.11,1.232.385.568,6.48,752,5.339.958.333,2160,2.3,1,0,0,0
1,credit_card,743,155.38,1.115.625.052,4.56,812,9809,813,1,0,0,0,0
1,home_improvement,807,235.25,1.191.839.057,2.72,757,5202,23678,24.4,4,0,0,0
1,debt_consolidation,996,257.99,1.077.895.629,15.13,722,2640,11289,47.8,3,0,0,0
1,small_business,1.501,225.37,1.226.904.744,6.45,677,6240,56411,75.3,0,0,0,1
1,home_improvement,964,80.26,1.122.524.339,20,772,4.920.958.333,269,3.8,3,0,0,1
1,home_improvement,128,84,1.037.349.118,20,682,5492,3408,35.1,1,0,0,1
1,debt_consolidation,1.122,507.46,1.059.663.473,13.5,712,5.368.958.333,6513,34.3,3,0,1,1
1,educational,743,124.31,1.059.663.473,3.45,772,1.739.958.333,330,11,0,0,0,0
1,credit_card,87,63.32,1.115.625.052,06.07,712,2550,5967,19.8,1,0,0,0
1,all_other,1.091,130.79,9.798.127.037,18,707,2192,5533,79.6,1,0,0,0
1,home_improvement,775,93.67,1.173.606.902,2.14,762,8370,21050,1,0,0,0,0
1,all_other,775,93.67,1.081.977.828,5.35,762,8370,21050,0.7,0,0,0,0
1,all_other,87,88.65,1.169.524.702,15,742,3026,8155,14.9,1,0,0,0
1,all_other,964,128.41,1.151.292.546,15,722,3026,8155,14.9,1,0,0,0
1,home_improvement,87,94.98,1.103.488.966,12.23,737,2.729.958.333,3678,30.7,0,0,0,0
1,debt_consolidation,1.217,179.8,1.046.310.334,7.1,662,2944,2040,36.2,2,0,0,0
1,credit_card,1.533,444.05,1.100.209.984,19.52,667,2.700.958.333,33074,68.8,2,0,0,0
1,all_other,775,124.89,1.103.165.864,3.46,747,2519,1918,17.1,0,0,0,0
1,credit_card,1.533,644.3,1.140.756.495,5.24,662,1770,22379,62.2,0,0,0,0
1,small_business,964,642.02,1.147.210.347,2.86,737,2190,10296,42.5,0,0,0,1
1,small_business,1.154,104.76,961.580.548,12.24,672,1.289.958.333,2867,55.1,3,0,0,1
1,debt_consolidation,1.122,157.66,1.030.895.266,12.36,682,1770,12310,86.1,0,0,0,0
1,debt_consolidation,87,383.87,1.191.839.057,4.8,767,1.334.995.833,61921,39.1,0,0,0,0
1,credit_card,1.122,217.6,1.138.509.209,18,702,3725,16738,26.1,2,0,0,0
1,all_other,807,297.99,1.105.089.001,3.49,792,5939,40384,9.2,1,0,0,0
1,debt_consolidation,775,156.11,1.071.441.777,5,762,2131,1359,5.6,2,0,0,0
1,debt_consolidation,1.154,329.95,1.232.385.568,20,727,10292,107501,44.8,2,0,0,0
1,all_other,807,313.67,1.206.104.687,0.72,787,8010,3054,5.6,3,0,0,0
1,all_other,807,297.99,1.140.756.495,2.44,792,8.717.958.333,40384,9.6,0,0,0,0
1,home_improvement,933,239.65,1.144.035.477,9.66,792,4529,128000,0,3,0,0,0
1,debt_consolidation,712,61.87,116.784.399,0.43,772,5936,4709,18.5,0,0,0,0
1,all_other,1.186,94.47,1.071.441.777,2.8,667,5460,2850,75,0,1,0,0
1,small_business,1.501,73.68,1.147.210.347,16.89,702,4080,51,0,0,0,0,1
1,home_improvement,807,313.67,1.191.839.057,5.84,792,5.364.958.333,37152,3.7,0,0,0,0
1,debt_consolidation,933,543.2,1.122.524.339,9.55,762,5.699.958.333,3839,16.6,1,0,0,0
1,home_improvement,807,313.67,1.135.040.654,3.11,797,5.363.958.333,37152,3.7,0,0,0,0
1,credit_card,1.217,266.37,1.115.625.052,10.2,672,3.598.958.333,26283,39.5,0,1,0,1
1,debt_consolidation,1.028,210.6,1.071.441.777,5.87,692,1.741.958.333,5607,42.2,0,0,0,0
1,all_other,1.249,234.15,1.004.324.949,05.01,662,1110,1061,81.9,3,0,0,0
1,debt_consolidation,1.028,323.99,1.169.524.702,14.4,722,4.679.958.333,56740,77.5,1,0,0,0
1,credit_card,1.059,235.96,1.095.080.655,7.22,712,5519,40598,77.3,1,0,0,0
1,debt_consolidation,1.438,352.22,111.844.214,17.83,687,1.289.958.333,3815,6.5,1,0,0,0
1,all_other,743,117.31,1.169.524.702,0,772,3.929.958.333,0,0,1,0,0,0
1,debt_consolidation,712,64.96,1.160.823.564,0.22,812,16213,50,0.3,0,0,0,0
1,small_business,1.565,699.69,1.142.954.386,1.53,667,3.603.958.333,4569,56.4,1,0,0,0
1,educational,1.059,195.27,9.852.194.258,8.15,692,3.089.958.333,8528,86.1,0,0,0,0
1,credit_card,1.122,295.59,103.859.137,22.15,747,2.788.958.333,14345,45.8,0,0,0,0
1,small_business,1.122,217.59,1.081.977.828,18.38,707,3359,113,2.4,1,0,0,0
1,debt_consolidation,1.375,263.09,1.103.811.028,9.8,677,3.089.958.333,12231,81,3,0,0,1
1,debt_consolidation,1.467,248.43,1.095.080.655,20.76,667,3750,13552,69.1,0,1,0,0
1,credit_card,1.028,194.4,1.137.710.574,10.6,692,2.489.958.333,16813,63.9,0,0,0,0
1,debt_consolidation,1.249,301.04,1.057.131.693,05.08,667,3690,26233,62.9,3,0,1,1
1,all_other,743,163.92,1.135.040.654,2.64,782,9210,5760,16,0,0,0,0
1,all_other,1.028,150.66,10.727.663,3.26,687,6.509.958.333,105,35,1,1,0,1
1,debt_consolidation,1.122,217.59,109.525.594,13.77,682,2160,11490,95.7,0,0,0,0
1,home_improvement,1.312,85.23,1.059.663.473,20.67,692,5250,17641,30.5,3,1,0,0
1,all_other,1.122,328.43,1.030.895.266,20.4,742,3270,0,0,3,0,0,0
1,all_other,807,165.47,1.091.508.846,12,797,8790,12430,19.2,1,0,0,0
1,debt_consolidation,1.091,140.6,1.049.127.422,9.87,707,1560,12323,44,0,0,0,0
1,all_other,1.028,98.01,1.140.756.495,9.13,697,3300,38624,97.8,0,0,0,0
1,small_business,1.217,166.48,9.210.340.372,0,662,2250,875,54.7,2,1,0,1
1,small_business,1.249,284.32,1.135.040.654,6.38,667,7.229.958.333,1196,12,3,4,0,0
1,small_business,1.438,194.15,1.308.154.138,2.4,697,2.759.958.333,26628,60.4,3,1,0,0
1,all_other,1.028,138.51,1.034.174.248,24.81,767,5.789.958.333,6752,24.6,2,0,0,0
1,debt_consolidation,1.249,70.25,9.433.483.923,14.4,662,1469,458,91.6,1,0,0,1
1,credit_card,838,252.1,1.156.171.563,9.71,752,3.508.958.333,16786,44.7,0,0,0,0
1,all_other,901,263.19,1.169.524.702,12.16,742,9.719.958.333,7336,29.9,0,0,0,0
1,all_other,933,104.65,1.103.488.966,3.83,702,3690,7089,41.9,1,0,0,0
1,debt_consolidation,807,172.53,1.089.673.933,6.29,742,5100,18388,68.9,0,0,0,0
1,credit_card,996,38.7,1.037.349.118,1.13,677,1920,613,76.6,2,0,0,0
1,educational,1.249,100.35,102.791.805,12.77,662,1110,566,51.5,3,1,0,1
1,debt_consolidation,128,335.98,1.050.232.405,18.92,682,2219,9166,50.4,1,0,0,0
1,all_other,1.091,163.49,1.057.131.693,11.78,707,4889,5406,33.4,0,0,1,1
1,all_other,996,32.25,1.046.310.334,5.83,687,2.158.958.333,1188,3,2,0,0,1
1,educational,996,96.75,9.798.127.037,15.4,707,1.124.895.833,12003,40.4,1,0,0,0
1,all_other,1.059,72.42,1.100.209.984,8.14,707,4800,20511,62,1,0,0,1
1,small_business,964,90.68,1.115.625.052,18,732,3691,55720,10,2,0,0,0
1,all_other,807,259.58,1.079.957.558,9.89,772,9870,7744,17.1,0,0,0,0
1,all_other,964,169.32,1.115.625.052,17.57,737,5.429.958.333,51761,38,1,0,0,0
1,credit_card,1.154,205.4,1.071.441.777,17.76,717,1500,579,23.2,0,0,0,0
1,debt_consolidation,1.312,162.01,1.135.040.654,16.87,707,9.059.958.333,34776,54.3,0,0,0,1
1,debt_consolidation,1.028,226.8,1.092.233.487,10.05,692,1890,8047,33.8,0,0,0,0
1,all_other,1.059,162.73,961.580.548,24.4,737,3.209.958.333,0,0,3,0,0,0
1,debt_consolidation,1.154,158.38,101.266.311,18.19,672,2586,409,81.8,0,1,0,0
1,small_business,901,795.11,1.095.080.655,8.93,822,9.696.958.333,185,0.5,0,0,0,0
1,debt_consolidation,996,158.83,1.133.857.208,4.84,727,6330,48251,50.1,2,0,0,0
1,all_other,1.028,97.2,1.054.534.144,19.93,687,2580,772,96.5,0,0,0,0
1,debt_consolidation,1.154,263.97,1.081.977.828,08.04,672,3089,1019,4.5,1,1,0,0
1,small_business,1.091,404.62,1.075.177.778,16.39,692,5640,8332,39.9,2,0,0,0
1,all_other,775,307.53,1.115.625.052,09.09,797,6.089.958.333,1790,4.5,1,0,0,0
1,debt_consolidation,128,839.95,1.122.524.339,24.85,722,6330,62739,74.7,3,0,0,1
1,all_other,1.059,269.31,1.159.910.316,24.01,767,4.665.958.333,29901,71.2,2,0,0,1
1,debt_consolidation,1.186,265.18,10.858.999,11.31,667,1560,5867,74.3,1,0,0,0
1,home_improvement,964,802.47,1.126.446.411,0.8,732,2.129.958.333,10605,22.1,1,0,0,0
1,debt_consolidation,1.091,505.16,1.169.524.702,16.97,697,9659,57196,44.5,3,0,0,1
1,home_improvement,901,318.05,1.252.452.638,2.97,712,4919,481,80.2,2,0,0,1
1,educational,838,315.12,1.030.895.266,4.2,737,1560,2282,19,1,0,0,0
1,all_other,1.091,130.79,9.574.983.486,8.92,672,1140,3614,61.3,1,0,0,0
1,debt_consolidation,1.059,227.82,1.105.879.518,8.5,682,6.839.958.333,14930,79,1,0,1,0
1,credit_card,996,643.36,1.166.134.547,13.07,727,1.052.995.833,33989,82.9,0,0,0,0
1,all_other,147,51.78,101.266.311,3.84,632,1530,1238,61.9,1,1,0,0
1,educational,901,572.48,1.062.132.735,15.37,747,7500,4746,18.5,2,0,0,0
1,all_other,775,149.87,9.952.277.717,6.34,752,3029,3470,25.5,0,0,0,0
1,all_other,996,96.75,1.103.488.966,11.98,682,1799,12640,83.2,0,0,0,0
1,home_improvement,712,92.8,1.144.035.477,0,812,8250,368,1.2,0,0,0,0
1,credit_card,1.091,192.09,1.109.741.002,19.82,677,4290,30597,89.5,1,1,0,0
1,all_other,1.154,593.92,1.020.359.214,10.8,682,5050,8537,75.5,0,0,0,0
1,debt_consolidation,1.091,392.36,1.046.310.334,15.74,692,1.500.041.667,15649,54.5,2,0,0,0
1,educational,775,156.11,10.858.999,9.55,767,1.296.004.167,4067,7.3,0,0,0,0
1,debt_consolidation,1.028,155.52,1.046.310.334,7.51,687,2795,5836,68.7,0,0,1,0
1,credit_card,1.028,485.99,1.138.509.209,11.95,702,5070,24615,94.7,0,0,0,0
1,all_other,1.028,116.64,1.030.895.266,7.88,687,5.130.041.667,7600,71.7,0,0,1,0
1,debt_consolidation,1.122,223.34,1.083.958.091,18.68,682,1.889.041.667,9495,87.9,2,0,0,1
1,credit_card,775,149.87,9.903.487.553,10.26,757,6.330.041.667,4921,30.4,0,0,0,0
1,educational,1.154,211.17,1.146.163.217,1.83,667,3.421.041.667,11200,23.2,1,0,0,0
1,debt_consolidation,743,186.45,1.113.730.067,6.11,777,7.440.041.667,2444,5.6,3,0,0,0
1,debt_consolidation,933,790.86,1.100.209.984,0.82,767,2100,916,6.8,0,0,0,0
1,small_business,901,795.11,1.333.100.224,3.83,782,3660,148829,6.6,5,0,0,1
1,credit_card,87,126.65,1.069.194.491,18.71,747,3630,3209,12.6,0,0,0,0
1,credit_card,1.091,294.27,1.128.978.191,17.17,677,3.840.041.667,7570,82.3,0,0,0,0
1,debt_consolidation,1.091,404.62,1.128.978.191,9.23,687,2519,13126,96.5,0,0,1,0
1,debt_consolidation,1.186,397.77,1.191.839.057,20.48,687,4.452.041.667,66654,51.6,1,0,0,0
1,debt_consolidation,743,178.68,1.146.163.217,1.2,812,1.625.904.167,50,0.3,0,0,0,0
1,educational,1.028,29.16,9.392.661.929,16.7,687,2069,3084,65.6,3,0,0,1
1,small_business,996,417.62,1.142.954.386,6.48,712,5.610.041.667,2598,23.8,1,0,0,0
1,credit_card,1.059,130.18,1.103.488.966,17.81,682,6.330.041.667,18168,68.5,2,0,0,0
1,all_other,1.122,98.53,1.040.134.951,22.79,682,9389,24218,85.3,2,0,0,0
1,all_other,807,15.69,9.798.127.037,4.27,722,1470,0,0,0,0,0,0
1,credit_card,1.091,523.14,1.220.607.265,10.7,697,7320,72303,73.7,1,0,0,0
1,all_other,87,557.23,119.381.932,0.12,757,1.128.041.667,1032,5,0,0,0,0
1,all_other,1.122,315.3,1.065.725.935,14.6,677,3630,133,4.2,1,0,0,0
1,debt_consolidation,1.154,527.93,1.070.099.475,12.16,682,2130,34023,57.7,1,2,0,1
1,major_purchase,743,93.23,111.844.214,11.18,757,4.500.041.667,12430,29.6,5,0,0,0
1,debt_consolidation,775,202.94,1.077.895.629,13.53,787,1.026.004.167,10742,8.9,3,0,0,0
1,debt_consolidation,1.186,165.74,1.059.663.473,07.02,667,2.789.041.667,2197,75.8,0,2,0,1
1,all_other,1.028,158.76,1.069.194.491,15.3,692,4410,88,23.8,1,3,0,1
1,debt_consolidation,1.028,485.99,1.081.977.828,11.88,702,7.020.041.667,13867,33.7,0,0,0,0
1,all_other,996,322.49,1.119.134.184,10.28,702,4.920.041.667,3943,98.6,3,0,0,1
1,debt_consolidation,87,189.97,1.008.580.911,19.45,757,3.870.041.667,5405,40,2,0,0,0
1,debt_consolidation,1.217,376.24,1.042.228.135,23.96,712,3.030.041.667,12102,49,1,0,0,0
1,debt_consolidation,1.217,599.33,1.161.045.137,18.3,682,4379,18076,81.4,1,0,0,0
1,debt_consolidation,1.217,132.35,1.020.359.214,23.2,702,5.279.041.667,4504,39.2,1,0,0,1
1,small_business,1.186,828.69,10.858.999,9.74,712,4.859.041.667,25852,60.5,0,0,0,0
1,credit_card,1.091,604.88,10.858.999,17.56,707,8061,32438,43,0,1,0,0
1,debt_consolidation,87,538.23,1.093.131.966,11.51,747,6.240.041.667,20380,48.1,2,0,0,0
1,credit_card,933,172.55,106.454.249,16.09,707,2220,38054,61.2,0,0,0,0
1,small_business,1.091,604.88,1.049.127.422,4.67,697,1410,25,0.2,2,0,0,0
1,all_other,996,290.24,1.054.534.144,3.38,697,1782,3305,55.1,2,0,0,0
1,major_purchase,1.186,530.36,1.136.674.295,15.1,682,3900,348,4.8,0,0,0,1
1,all_other,87,158.31,1.008.580.911,6.15,722,1350,3015,25.3,0,0,0,0
1,debt_consolidation,1.059,390.54,1.030.895.266,19.84,702,2.042.041.667,7336,71.9,1,0,0,0
1,credit_card,1.249,301.04,10.858.999,4.98,662,6.630.041.667,8644,72.6,1,0,0,0
1,small_business,1.154,659.91,1.147.210.347,17.81,707,3629,93,0,2,0,0,1
1,small_business,743,217.52,1.066.895.539,1.65,777,2879,2698,9.5,0,0,0,0
1,home_improvement,1.028,388.79,1.148.246.626,5.58,697,4.800.041.667,19009,30,0,0,0,0
1,major_purchase,87,158.31,1.077.895.629,0.38,717,1.293.004.167,498,7.3,2,1,0,0
1,debt_consolidation,1.217,319.64,1.100.209.984,19.28,672,4740,10358,91.7,2,0,1,1
1,credit_card,1.028,103.68,1.122.524.339,9.7,682,12780,2105,45.3,0,3,0,0
1,home_improvement,964,154.08,1.100.209.984,12.94,697,2.969.041.667,2822,9.9,3,0,0,0
1,debt_consolidation,1.059,650.9,1.158.988.651,11.96,707,5070,21004,97.7,0,0,0,0
1,all_other,1.375,81.74,1.075.790.288,24.08,667,2820,11675,75.8,1,0,0,0
1,all_other,901,238.54,9.875.088.078,10.37,712,1.230.041.667,3933,43.7,0,0,0,0
1,debt_consolidation,128,335.98,1.098.189.713,7.51,662,4.109.041.667,7251,80.6,3,0,2,0
1,all_other,1.217,93.23,1.071.441.777,19.19,692,4.440.041.667,88,44,1,3,0,1
1,all_other,933,95.87,1.050.780.352,2.69,697,4680,1492,33.2,2,0,0,0
1,debt_consolidation,996,95.94,101.266.311,14.16,692,1.918.041.667,7121,33.7,0,0,0,0
1,debt_consolidation,128,554.37,1.103.488.966,19.22,677,3.060.041.667,17641,69.5,2,0,0,0
1,small_business,1.438,859.07,1.128.978.191,20.79,682,3.059.041.667,30946,61.5,3,0,0,1
1,major_purchase,838,472.68,112.515.607,7.96,772,5.909.041.667,0,0,0,0,0,0
1,credit_card,1.091,586.9,1.122.524.339,10.34,697,2.669.041.667,23391,90.7,1,0,0,0
1,major_purchase,964,224.69,9.878.169.745,21.23,772,5881,16324,48,0,0,0,0
1,debt_consolidation,128,483.81,1.049.460.201,8.47,662,2.670.041.667,7104,93.5,2,0,0,1
1,debt_consolidation,1.217,399.55,1.008.580.911,14.5,672,1.950.041.667,9273,43.9,0,0,0,0
1,debt_consolidation,1.186,232.04,1.082.774.645,17.02,672,4380,6718,94.6,3,0,0,0
1,small_business,964,802.47,1.122.524.339,17.06,767,5.691.041.667,12017,12.1,4,0,0,1
1,debt_consolidation,1.091,304.9,1.116.368.368,18.96,692,5430,5749,43.2,1,1,0,0
1,small_business,1.249,836.23,1.127.545.477,7.99,692,4739,6530,21.8,0,1,0,0
1,all_other,775,124.89,1.008.580.911,6,752,2.729.041.667,2666,12.1,0,0,0,0
1,all_other,1.028,113.4,1.077.895.629,17.65,687,2070,3761,55.4,2,0,0,0
1,credit_card,1.407,842.47,1.169.524.702,12.81,677,5.340.041.667,33698,91.3,0,0,0,0
1,debt_consolidation,1.091,817.41,1.119.821.472,22.13,737,9900,3472,4.5,1,0,0,1
1,debt_consolidation,1.596,421.65,1.046.287.474,20.82,667,6.750.041.667,14534,48.9,3,1,0,0
1,educational,933,575.17,1.100.209.984,9.96,732,2.732.041.667,6703,47.5,1,0,0,0
1,all_other,1.312,405.03,1.156.171.563,18.25,667,4358,5861,53.8,2,0,0,0
1,debt_consolidation,128,167.99,1.014.564.911,18.65,662,1380,5061,72.3,0,1,0,0
1,debt_consolidation,996,677.22,1.089.857.098,3.77,722,6149,16888,39.5,0,0,0,0
1,all_other,1.154,131.99,1.083.863.929,9.14,667,3990,463,92.6,0,0,0,0
1,debt_consolidation,933,281.2,101.266.311,0,712,3.360.041.667,0,0,0,1,0,0
1,debt_consolidation,964,802.47,1.077.895.629,9.78,742,2550,8283,12.7,4,0,0,0
1,credit_card,1.091,505.16,1.161.728.548,10.86,687,3.420.041.667,46525,93.6,0,0,0,0
1,home_improvement,743,180.23,1.062.861.778,2.32,772,2.610.041.667,2650,6.6,0,0,0,0
1,small_business,933,798.84,1.151.292.546,1.57,762,6.359.041.667,17,0.1,5,0,0,1
1,all_other,933,319.54,1.050.506.754,19.46,727,4.470.041.667,827,6.6,2,0,0,1
1,debt_consolidation,964,32.1,8.517.193.191,18,702,1.200.041.667,961,26,2,0,0,0
1,debt_consolidation,964,192.6,9.798.127.037,2.87,697,1.199.041.667,1554,29.3,1,0,0,0
1,home_improvement,1.407,764.64,1.181.303.006,3.66,672,5790,10753,52.3,2,3,0,1
1,all_other,712,30.94,1.169.524.702,0.65,792,3.810.041.667,2227,3.8,1,0,0,0
1,credit_card,901,381.66,1.151.961.693,6.64,722,1.029.004.167,7606,18.6,0,0,1,0
1,debt_consolidation,1.249,301.04,1.100.209.984,4.64,662,2222,8355,34.4,0,2,0,1
1,credit_card,1.438,687.25,1.132.659.589,16.05,667,2190,27293,86.6,0,0,0,0
1,debt_consolidation,964,320.99,111.124.479,3.6,712,2850,10157,26.2,0,1,0,0
1,small_business,147,862.97,113.736.634,5.79,677,4739,4209,75.2,2,0,0,1
1,credit_card,807,250.95,1.089.673.933,10.44,767,3.449.041.667,0,0,1,0,0,0
1,all_other,743,87.01,1.028.793.329,3.96,767,3930,1773,5,1,0,0,0
1,all_other,775,62.45,1.008.580.911,2.4,742,2.290.041.667,949,55.8,1,0,0,1
1,home_improvement,1.375,851.41,1.122.524.339,19.78,687,2.399.041.667,12308,43.6,2,0,0,1
1,credit_card,1.059,244.09,1.059.600.954,12.1,687,4019,7914,30.8,3,2,0,0
1,debt_consolidation,1.438,687.25,1.065.725.935,15.7,672,3690,9150,96.3,0,0,0,0
1,debt_consolidation,1.122,656.86,1.055.986.701,14.04,702,1800,21777,53.7,3,0,0,0
1,all_other,128,537.57,1.148.440.253,12.43,667,2580,4281,63,3,0,0,0
1,debt_consolidation,964,320.99,1.012.502.982,8.17,712,3300,4475,63,0,0,0,0
1,debt_consolidation,996,386.99,1.151.292.546,8.17,707,3.839.041.667,25413,45.2,2,0,0,0
1,small_business,838,315.12,1.158.058.411,2.28,742,4740,15043,65.2,2,0,0,0
1,major_purchase,1.059,292.91,1.016.277.015,5.56,682,1.350.041.667,6353,39.5,2,0,0,0
1,debt_consolidation,807,125.48,9.980.448.594,10.33,742,1.920.041.667,3737,55.8,1,0,0,0
1,debt_consolidation,933,383.45,1.113.663.073,7.47,717,5.580.041.667,11370,41.6,0,2,0,0
